id,title,description,product_id,slug,api,ilsac,acea,jaso,oem_sertification,recommendations,pds_url,sds_url,created_at,oil_type_id,product_group_id,viscosity_id,image,application,features_benefits
16,Aminol™ Hydraulic HLP 32,"Aminol™ Hydraulic Oil HLP 32 is a premium hydraulic fluid formulated from highly refined mineral oil, enriched with a precisely balanced additive system. Specifically designed to meet the demands of high-pressure and high-output hydraulic systems, it offers enhanced performance, including increased oil life, exceptional wear protection, and excellent control over deposits in various processes",AL/HF-0009,aminoltm-hydraulic-hlp-32,Not available,Not available,Not available,Not available,"DIN 51524 -2; ISO 11158 (HM); ISO 6743/4 (HM); GB 11118.1-2011; SAE MS 1004; US STEEL 126/127; Bosch Rexroth RDE 90235; Denison HF-0/HF-1/HF-2; Eaton E-FDGN-TB002-E; Fives Cincinnati P68; ASTM D6158 (HM); JCMAS P041 HK; GM LS-2, SEB 181222",Not available,,,2025-05-24 08:24:59.636+00,,13,,"","Hydraulic systems critical to deposit build-up or where sludge and deposits form with conventional products
Hydraulic systems requiring a high load-carrying capability and anti-wear protection, and when thin oil-film corrosion protection is an asset
Where small amounts of water are unavoidable
Systems containing gears and bearings 
Machines employing a wide range of components using various metallurgy","Exceptional thermal and oxidation stability
Superior wear resistance
Enhanced corrosion protection
Controlled demulsibility
Excellent anti-foam properties
Neutral to seal materials"
150,Aminol™ AirTec  46,Aminol™ AirTec 46 is a high-performance lube oil specially engineered to meet the stringent requirements of major compressor manufacturers . It has been blended from carefully selected base oils and a well-balanced additive package to ensure excellent corrosion protection and ageing resistance as well as a low tendency to form carbon residues and deposits.,AL/CF-0002,aminoltm-airtec-46,Not available,Not available,Not available,Not available,"DIN 51506 VDL (VB, VC)
ISO 6743/3A  (L-DAA)",Not available,,,2025-05-24 08:25:00.785+00,,12,,"","Reciprocating compressors transmitting air, inert (non-corrosive) and hydrocarbon gases
Reciprocating compressors up to 160 °C compression discharge temperature
Oil lubricated sliding and rolling bearings","Remarkable anti-wear performance 
Better low-temperature fluidity
Resistant to aging over time
Decreased deposits in discharge lines
Improved water-separating properties"
230,Aminol™ Advance AC1 20W-50 SG/CD,Aminol™ Advance AC1 20W-50 SG/CD is a mineral year-round multifunctional motor oil designed to deliver outstanding engine protection and cleanliness. It has been formulated with high quality base stocks and advanced additive technology to guarantee optimum lubrication under all operating conditions.,AL/EO-0046,aminoltm-advance-ac1-20w-50-sgcd,SG/CD,Not available,Not available,Not available,Not available,Not available,,,2025-05-24 08:25:01.46+00,,1,12,"",Aminol™ Advance AC1 20W-50 SG/CD is suitable for use in automotive gasoline and diesel engines where the manufacturer recommends an API SG/CD or earlier specification 20W-50 lubricant.,"Provides excellent protection against wear and extends engine life
Helps to prevent the formation of deposits and sludge, keeping engines clean and running smoothly
Protects engine parts against rust and corrosion
Offers high thermal stability and resistance to oxidation, ensuring long-lasting engine performance"
18,Aminol™ Hydraulic HLP 68,"Aminol™ Hydraulic Oil HLP 32 is a premium hydraulic fluid formulated from highly refined mineral oil, enriched with a precisely balanced additive system. Specifically designed to meet the demands of high-pressure and high-output hydraulic systems, it offers enhanced performance, including increased oil life, exceptional wear protection, and excellent control over deposits in various processes",AL/HF-0011,aminoltm-hydraulic-hlp-68,Not available,Not available,Not available,Not available,"DIN 51524 -2; ISO 11158 (HM); ISO 6743-4, (HM); GB 11118.1-2011; SAE MS 1004; US STEEL - 126/127; Bosch Rexroth RDE 90235; Denison HF-0/HF-1/HF-2; Eaton E-FDGN-TB002-E; Fives Cincinnati P69; ASTM D6158; JCMAS P041 HK; GM LS-2, SEB 181222",Not available,,,2025-05-24 08:24:59.652+00,,13,,"","Hydraulic systems critical to deposit build-up or where sludge and deposits form with conventional products
Hydraulic systems requiring a high load-carrying capability and anti-wear protection, and when thin oil-film corrosion protection is an asset
Where small amounts of water are unavoidable
Systems containing gears and bearings 
Machines employing a wide range of components using various metallurgy","Exceptional thermal and oxidation stability
Superior wear resistance
Enhanced corrosion protection
Controlled demulsibility
Excellent anti-foam properties
Neutral to seal materials"
19,Aminol™ Hydraulic HLP 100,"Aminol™ Hydraulic Oil HLP 32 is a premium hydraulic fluid formulated from highly refined mineral oil, enriched with a precisely balanced additive system. Specifically designed to meet the demands of high-pressure and high-output hydraulic systems, it offers enhanced performance, including increased oil life, exceptional wear protection, and excellent control over deposits in various processes",AL/HF-0012,aminoltm-hydraulic-hlp-100,Not available,Not available,Not available,Not available,"DIN 51524 -2; ISO 11158 (HM); ISO 6743-4, (HM); SAE MS 1004; US STEEL - 126/127; Denison HF-0/HF-1/HF-2; ASTM D6158 (HM); Eaton E-FDGN-TB002-E; JCMAS P041 HK; GM LS-2, SEB 181222",Not available,,,2025-05-24 08:24:59.66+00,,13,,"","Hydraulic systems critical to deposit build-up or where sludge and deposits form with conventional products
Hydraulic systems requiring a high load-carrying capability and anti-wear protection, and when thin oil-film corrosion protection is an asset
Where small amounts of water are unavoidable
Systems containing gears and bearings 
Machines employing a wide range of components using various metallurgy","Exceptional thermal and oxidation stability
Superior wear resistance
Enhanced corrosion protection
Controlled demulsibility
Excellent anti-foam properties
Neutral to seal materials"
21,Aminol™ Hydraulic HLP 220,"Aminol™ Hydraulic Oil HLP 32 is a premium hydraulic fluid formulated from highly refined mineral oil, enriched with a precisely balanced additive system. Specifically designed to meet the demands of high-pressure and high-output hydraulic systems, it offers enhanced performance, including increased oil life, exceptional wear protection, and excellent control over deposits in various processes",AL/HF-0014,aminoltm-hydraulic-hlp-220,Not available,Not available,Not available,Not available,"DIN 51524 -2; ISO 11158 (HM); ISO 6743-4, (HM); SAE MS 1004; US STEEL - 126/127; Denison HF-0/HF-1/HF-2; ASTM D6158 (HM); Eaton E-FDGN-TB002-E; JCMAS P041 HK; GM LS-2, SEB 181222",Not available,,,2025-05-24 08:24:59.677+00,,13,,"","Hydraulic systems critical to deposit build-up or where sludge and deposits form with conventional products
Hydraulic systems requiring a high load-carrying capability and anti-wear protection, and when thin oil-film corrosion protection is an asset
Where small amounts of water are unavoidable
Systems containing gears and bearings 
Machines employing a wide range of components using various metallurgy","Exceptional thermal and oxidation stability
Superior wear resistance
Enhanced corrosion protection
Controlled demulsibility
Excellent anti-foam properties
Neutral to seal materials"
22,Aminol™ Hydraulic HLP 320,"Aminol™ Hydraulic Oil HLP 32 is a premium hydraulic fluid formulated from highly refined mineral oil, enriched with a precisely balanced additive system. Specifically designed to meet the demands of high-pressure and high-output hydraulic systems, it offers enhanced performance, including increased oil life, exceptional wear protection, and excellent control over deposits in various processes",AL/HF-0015,aminoltm-hydraulic-hlp-320,Not available,Not available,Not available,Not available,"DIN 51524 -2; ISO 11158 (HM); ISO 6743-4, (HM); SAE MS 1004; US STEEL - 126/127; Denison HF-0/HF-1/HF-2; ASTM D6158 (HM); Eaton E-FDGN-TB002-E; JCMAS P041 HK; GM LS-2, SEB 181222",Not available,,,2025-05-24 08:24:59.686+00,,13,,"","Hydraulic systems critical to deposit build-up or where sludge and deposits form with conventional products
Hydraulic systems requiring a high load-carrying capability and anti-wear protection, and when thin oil-film corrosion protection is an asset
Where small amounts of water are unavoidable
Systems containing gears and bearings 
Machines employing a wide range of components using various metallurgy","Exceptional thermal and oxidation stability
Superior wear resistance
Enhanced corrosion protection
Controlled demulsibility
Excellent anti-foam properties
Neutral to seal materials"
24,Aminol™ Hydraulic HLP 32 Zinc Free,"Aminol™ Hydraulic HLP 32 Zinc Free is a high-performance zinc-free ashless hydraulic oil designed for top-notch performance in hydraulic systems, power transmission, and general machine lubrication, especially under moderate to severe conditions. It features a formulation with high-quality mineral base stocks and a special additive technology, effectively preventing corrosion, wear, aging, and friction.",AL/HF-0017,aminoltm-hydraulic-hlp-32-zinc-free,Not available,Not available,Not available,Not available,"DIN 51524-2
Fives Cincinnati P-68
ISO 11158 (HM)
ASTM D6158 HM)
SAE MS 1004
ISO 20763",Not available,,,2025-05-24 08:24:59.703+00,,13,,"","Manufacturing and industrial hydraulic systems
Severe-duty hydraulic service
Marine and mobile hydraulic systems
High-pressure vane, piston, and gear pumps operating at elevated temperatures
Systems employing multi-metal designs in system components","Excellent anti-oxidation and anticorrosion properties.
High thermal-oxidative stability.
Outstanding seal compatibility.
Superior antiwear characteristics.
Great air separation ability.
Extended oil drain intervals."
25,Aminol™ Hydraulic HLP 46 Zinc Free,"Aminol™ Hydraulic HLP 46 Zinc Free is a high-performance zinc-free ashless hydraulic oil designed for top-notch performance in hydraulic systems, power transmission, and general machine lubrication, especially under moderate to severe conditions. It features a formulation with high-quality mineral base stocks and a special additive technology, effectively preventing corrosion, wear, aging, and friction.",AL/HF-0018,aminoltm-hydraulic-hlp-46-zinc-free,Not available,Not available,Not available,Not available,"DIN 51524-2
Fives Cincinnati P-70
ISO 11158 (HM)
ASTM D6158 (HM)
SAE MS 1004
ISO 20763",Not available,,,2025-05-24 08:24:59.716+00,,13,,"","Manufacturing and industrial hydraulic systems
Severe-duty hydraulic service
Marine and mobile hydraulic systems
High-pressure vane, piston, and gear pumps operating at elevated temperatures
Systems employing multi-metal designs in system components","Excellent anti-oxidation and anticorrosion properties.
High thermal-oxidative stability.
Outstanding seal compatibility.
Superior antiwear characteristics.
Great air separation ability.
Extended oil drain intervals."
26,Aminol™ Hydraulic HLP 68 Zinc Free,"Aminol™ Hydraulic HLP 68 Zinc Free is a high-performance zinc-free ashless hydraulic oil designed for top-notch performance in hydraulic systems, power transmission, and general machine lubrication, especially under moderate to severe conditions. It features a formulation with high-quality mineral base stocks and a special additive technology, effectively preventing corrosion, wear, aging, and friction.",AL/HF-0019,aminoltm-hydraulic-hlp-68-zinc-free,Not available,Not available,Not available,Not available,"DIN 51524-2
Fives Cincinnati P-69
ISO 11158 (HM)
ASTM D6158 (HM)
SAE MS 1004
ISO 20763",Not available,,,2025-05-24 08:24:59.729+00,,13,,"","Manufacturing and industrial hydraulic systems
Severe-duty hydraulic service
Marine and mobile hydraulic systems
High-pressure vane, piston, and gear pumps operating at elevated temperatures
Systems employing multi-metal designs in system components","Excellent anti-oxidation and anticorrosion properties.
High thermal-oxidative stability.
Outstanding seal compatibility.
Superior antiwear characteristics.
Great air separation ability.
Extended oil drain intervals."
29,Aminol™ Hydraulic HVLP 22,"Aminol™ HVLP 68 is a high-performance anti-wear hydraulic oil derived from premium quality raffinates. Engineered to deliver exceptional protection and performance, it excels in various applications, including most mobile equipment, operating efficiently across a wide range of ambient temperatures.",AL/HF-0022,aminoltm-hydraulic-hvlp-22,Not available,Not available,Not available,Not available,"DIN 51524-3 (HV)
ISO 11158 (HV)
ASTM D6158 (HV)
Eaton E-FDGN-TB002-E
JCMAS P041 HK
AIST 126/127
SAE MS1004
GM LS 2
SEB 181222",Not available,,,2025-05-24 08:24:59.759+00,,13,,"","Industrial and mobile equipment hydraulic systems operating at high pressures and temperatures in critical applications
Systems where cold start-up and high operating temperatures are typical
Systems requiring a high degree of load-carrying capability and anti-wear protection
Machines employing a wide range of components using various metallurgy","Exceptional thermal and oxidation stability
Superior wear resistance
Enhanced corrosion protection
Excellent anti-foam properties
Ultra clean performance"
31,Aminol™ Hydraulic HVLP 46,"Aminol™ HVLP 68 is a high-performance anti-wear hydraulic oil derived from premium quality raffinates. Engineered to deliver exceptional protection and performance, it excels in various applications, including most mobile equipment, operating efficiently across a wide range of ambient temperatures.",AL/HF-0024,aminoltm-hydraulic-hvlp-46,Not available,Not available,Not available,Not available,"DIN 51524-3 (HV); ISO 11158 (HV); Bosch Rexroth RDE 90235; Denison HF-0/HF-1/HF-2; Eaton E-FDGN-TB002-E; Fives Cincinnati P70; GB 11118.1-2011 (L-HV); ASTM D6158 (HV); GM LS 2; AIST 126, 127; SAE MS 1004, SEB 181222",Not available,,,2025-05-24 08:24:59.775+00,,13,,"","Industrial and mobile equipment hydraulic systems operating at high pressures and temperatures in critical applications
Systems where cold start-up and high operating temperatures are typical
Systems requiring a high degree of load-carrying capability and anti-wear protection
Machines employing a wide range of components using various metallurgy","Exceptional thermal and oxidation stability
Superior wear resistance
Enhanced corrosion protection
Excellent anti-foam properties
Ultra clean performance"
